Statement,PubMed link,Infobase link
H1.2 shows a dynamic exchange between chromatin and cytoplasm at different stages of mitotic phase (PMID: 20104577),http://www.ncbi.nlm.nih.gov/pubmed/20104577,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.2
A recent report classifies it as a weak condenser of chromatin (PMID: 19794910),http://www.ncbi.nlm.nih.gov/pubmed/19794910,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.2
H1.3 expression is replication dependent. Its gene is present in cluster 1 on chromosome number 6 and its mRNA is not polyadenylated (PMID: 19587527),http://www.ncbi.nlm.nih.gov/pubmed/19587527,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.3
HL-60 and its differentiated cell types are shown to differ significantly in the presence of H1.3 variant (PMID: 11478838),http://www.ncbi.nlm.nih.gov/pubmed/11478838,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.3
H1.3 is detected in chromatin throughout the cell cycle whereas other varaints partition between chromatin and cytoplasm in a phase dependent manner (PMID: 20104577),http://www.ncbi.nlm.nih.gov/pubmed/20104577,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.3
Recent report classifies it as an intermediate condensor of chromatin (PMID: 19794910),http://www.ncbi.nlm.nih.gov/pubmed/19794910,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.3
H1.4 shows a replication dependent expression. Its gene is present in cluster 1 on chromosome number 6 and its mRNA is not polyadenylated (PMID: 19587527),http://www.ncbi.nlm.nih.gov/pubmed/19587527,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.4
It has been reported that around 25% of H1.4 is specifically methylated on K25 (reported as H1K26) in human tissues (PMID: 19552482),http://www.ncbi.nlm.nih.gov/pubmed/19552482,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.4
Phophorylated serine 186 (reported as H1S187) of histone H1.4 variant is specifically associated with  ribosomal gene promoters that are transcriptionally active (PMID: 20439994),http://www.ncbi.nlm.nih.gov/pubmed/20439994,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.4
Histone H1.4 expression is increased during early apoptosis (PMID: 9882631),http://www.ncbi.nlm.nih.gov/pubmed/9882631,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.4
A recent report classifies it as a strong condenser of chromatin (PMID: 19794910),http://www.ncbi.nlm.nih.gov/pubmed/19794910,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.4
H1.5 exhibits a replication dependent expression. Its gene is present in cluster 1 on chromosome number 6 and the mRNA is not polyadenylated (PMID: 19587527),http://www.ncbi.nlm.nih.gov/pubmed/19587527,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.5
Histone H1.5 expression is increased during early apoptosis (PMID: 9882631),http://www.ncbi.nlm.nih.gov/pubmed/9882631,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.5
H1.5 shows the maximum fold change in expression during S phase compared to other H1 variants (PMID: 9324306),http://www.ncbi.nlm.nih.gov/pubmed/9324306,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.5
H1.5 shows a dynamic exchange between chromatin and cytoplasm at different stages of mitosis (PMID: 20104577),http://www.ncbi.nlm.nih.gov/pubmed/20104577,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.5
A recent report classifies it as a strong condensor of chromatin (PMID: 19794910),http://www.ncbi.nlm.nih.gov/pubmed/19794910,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.5
H1oo gene is located on chromosome number 3. This variant is expressed specifically in oocytes and its mRNA is polyadenylated (PMID: 12711322),http://www.ncbi.nlm.nih.gov/pubmed/12711322,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1oo
Human oocytes are reported to express H1oo starting from primordial follicle stage to early embryogenesis. Its incorporation into the sperm chromatin is supposed to affect the fertilization process (PMID: 19147139),http://www.ncbi.nlm.nih.gov/pubmed/19147139,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1oo
"H1t shows a replication independent expression. Gene is located in cluster 1 on chromosome number 6. Specifically expressed in testis (PMID: 1889752, PMID: 19059319)",http://www.ncbi.nlm.nih.gov/pubmed/1889752|http://www.ncbi.nlm.nih.gov/pubmed/19059319,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1t
H1t expression is shown to be restricted to mid and late pachytene stage of meiosis during  human spermiogenesis (PMID: 9809674),http://www.ncbi.nlm.nih.gov/pubmed/9809674,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1t
H1x exhibits a replication independent expression. Expression levels remain unaltered throughout cell cycle. Gene is present on chromosome number 3 and mRNA is polyadenylated (PMID: 19587527),http://www.ncbi.nlm.nih.gov/pubmed/19587527,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1x
Highly expressed in neuroendocrine tumors (PMID: 19108733),http://www.ncbi.nlm.nih.gov/pubmed/19108733,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1x
Recent report classifies it as a strong condensor of chromatin (PMID: 19794910),http://www.ncbi.nlm.nih.gov/pubmed/19794910,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1x
Histone H2A.Bbd is only 48% similar to the major forms of histone H2A. It is essentially observed on the active X chromosome and the inactive X chromosome is devoid of this variant (PMID: 11266453),http://www.ncbi.nlm.nih.gov/pubmed/11266453,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A-Bbd_type_1
H2A.Bbd forms a highly unstable nucleosome in in vitro condition and wraps only 118 base pairs of DNA fragment (PMID: 15257289)(PMID: 17726088),http://www.ncbi.nlm.nih.gov/pubmed/15257289|http://www.ncbi.nlm.nih.gov/pubmed/17726088,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A-Bbd_type_1
It has a characteristic 6 arginine repeat in its N terminal region (PMID: 11266453),http://www.ncbi.nlm.nih.gov/pubmed/11266453,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A-Bbd_type_1
It is recently shown to be involved in the spermiogenesis process and might contribute to the histone-to-protamine exchange in sperms (PMID: 20008104),http://www.ncbi.nlm.nih.gov/pubmed/20008104,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A-Bbd_type_1
Histone H2A.Bbd is only 48% similar to the major forms of histone H2A. It is essentially observed on the active X chromosome and the inactive X chromosome is devoid of this variant (PMID: 11266453),http://www.ncbi.nlm.nih.gov/pubmed/11266453,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A-Bbd_type_2/3
"H2A.Bbd forms a highly unstable nucleosome in in vitro condition and wraps only 118 base pairs of DNA fragment (PMID: 15257289, PMID: 17726088)",http://www.ncbi.nlm.nih.gov/pubmed/15257289|http://www.ncbi.nlm.nih.gov/pubmed/17726088,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A-Bbd_type_2/3
It has a characteristic 6 arginine repeat in its N terminal region (PMID: 11266453),http://www.ncbi.nlm.nih.gov/pubmed/11266453,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A-Bbd_type_2/3
It is recently shown to be involved in the spermiogenesis process and might contribute to the histone-to-protamine exchange in sperms (PMID: 20008104),http://www.ncbi.nlm.nih.gov/pubmed/20008104,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A-Bbd_type_2/3
H2AX expression is replication independent and occurs in all phases of cell cycle. Its mRNA is polyadenylated (PMID: 2587254),http://www.ncbi.nlm.nih.gov/pubmed/2587254,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.x
H2AX plays a crucial role in the process of DNA damage response. It immediately gets phosphorylated at serine 139 position and this form of H2AX is known as gamma-H2AX (PMID: 9488723),http://www.ncbi.nlm.nih.gov/pubmed/9488723,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.x
"Gamma-H2AX has been implicated in many cellular phenomena like DNA double stranded break repair, apoptosis, cell cycle checkpoints, JNK signalling, mis-match repair etc. (PMID: 16857581, PMID: 10959836, PMID: 15279782)",http://www.ncbi.nlm.nih.gov/pubmed/16857581|http://www.ncbi.nlm.nih.gov/pubmed/10959836|http://www.ncbi.nlm.nih.gov/pubmed/15279782,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.x
H2AZ gene is located on chromosome number 4. Expression is replication independent (PMID: 1697587),http://www.ncbi.nlm.nih.gov/pubmed/1697587,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.Z
Reports argue that H2AZ does not self-propogate unto the surrounding nucleosomes and hence might have restricted epigenetic features (PMID: 16809769),http://www.ncbi.nlm.nih.gov/pubmed/16809769,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.Z
"p400 (ATP-dependent complex, homolog of Swr1) is reported to be important for the localization of H2AZ in the chromatin and  this function regulates p21 transcription (PMID: 17671089)",http://www.ncbi.nlm.nih.gov/pubmed/17671089,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.Z
H2A type 1-C gene is located in cluster 1 on chromosome number 6. H2ac most often exists in a methylated and phosphorylated state (PMID: 20838438),http://www.ncbi.nlm.nih.gov/pubmed/20838438,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A_type_1-C
H2A type 1 gene is located in cluster 1 on chromosome number 6. On activation of angiotensin II (AngII) type 1 receptor (AT(1)R) histone isoforms H2A type A/O were found to be exchanged with isoform H2A type M (PMID: 20838438),http://www.ncbi.nlm.nih.gov/pubmed/20838438,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A_type_1
Testis specific variant expressed from X chromosome. mRNA is polyadenylated (PMID: 15475252),http://www.ncbi.nlm.nih.gov/pubmed/15475252,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2B_type_W-T
Its N terminal tail is significantly different from that of the other H2B variants and hence has restricted functions (PMID: 16449661),http://www.ncbi.nlm.nih.gov/pubmed/16449661,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2B_type_W-T
"CENPA is a centromere specific histone H3 variant and localizes to the centromeric hetrochromatinised regions of the genome (PMID: 7962047, PMID: 10639145)",http://www.ncbi.nlm.nih.gov/pubmed/7962047|http://www.ncbi.nlm.nih.gov/pubmed/10639145,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3-like_centromeric_protein_A
CENPA is essential for the formation of kinetochores and recruitment of other factors required for spindle assembly (PMID: 11682612),http://www.ncbi.nlm.nih.gov/pubmed/11682612,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3-like_centromeric_protein_A
Histone modifications present in the centromeric region are significantly  different from the euchromatic or hetrochromatic regions and is supposed to be partly enabled by CENP-A (PMID: 15475964),http://www.ncbi.nlm.nih.gov/pubmed/15475964,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3-like_centromeric_protein_A
CENPA is also shown to be recruited at the sites of DNA damage and this event is independent of H2A.X signal (PMID: 19717431),http://www.ncbi.nlm.nih.gov/pubmed/19717431,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3-like_centromeric_protein_A
"CENPA is incorporated specifically at centromeric region by the coordination of different molecules like  nucleophosmin 1, and HJURP (PMID: 19410544)",http://www.ncbi.nlm.nih.gov/pubmed/19410544,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3-like_centromeric_protein_A
Histone H3.1 variant expression is replication dependent (PMID: 16571659),http://www.ncbi.nlm.nih.gov/pubmed/16571659,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.1
It encompasses modifications that mark transcriptional activation as well as repression (PMID: 16267050),http://www.ncbi.nlm.nih.gov/pubmed/16267050,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.1
"Some reports also demonstrate incorporation of H3.1 outside of S phase and at the site of UV induced DNA damage by specific mechanisms, suggesting a role in DNA damage response and formation of a damage memory (PMID: 17081972)",http://www.ncbi.nlm.nih.gov/pubmed/17081972,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.1
Studies performed on nucleosomal assembly suggest that H3.1/H4 tetramers do not split and remain intact during replication dependent deposition of H3.1 variant (PMID: 20360108),http://www.ncbi.nlm.nih.gov/pubmed/20360108,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.1
Tissue specific histone H3 variant is expressed exclusively in testis and restricted to primary spermatocytes (PMID: 8986613),http://www.ncbi.nlm.nih.gov/pubmed/8986613,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.1t
Nap2 is reported to facilitate efficient nucleosome assembly with H3.1t/H4 in in vitro conditions (PMID: 18281699),http://www.ncbi.nlm.nih.gov/pubmed/18281699,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.1t
"Nucleosomes containing H3.1t in place of conventional H3 are found to be structurally very unstable in both, in vivo and in vitro conditions. This property is thought to be important for the dense packaging of chromatin inside sperms (PMID: 20498094)",http://www.ncbi.nlm.nih.gov/pubmed/20498094,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.1t
Histone H3.2 variant expression is replication dependent (PMID: 16571659),http://www.ncbi.nlm.nih.gov/pubmed/16571659,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.2
It mostly harbours modifications that mediate transcriptional repression (PMID: 16267050),http://www.ncbi.nlm.nih.gov/pubmed/16267050,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.2
Newly synthesised H3.2 molecules are reported to undergo dynamic acetylation and methylation (PMID: 16464854),http://www.ncbi.nlm.nih.gov/pubmed/16464854,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.2
Histone H3.3 is expressed in a replication independent manner (PMID: 16571659),http://www.ncbi.nlm.nih.gov/pubmed/16571659,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.3
H3.3 specific serine 31 phosphorylation is observed in the adjoining regions of the centromere during the metaphase stage and supposed to contribute to cell cycle (PMID: 15851689),http://www.ncbi.nlm.nih.gov/pubmed/15851689,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.3
Majority of modifications present on H3.3 represent a transcriptionally active region of the chromatin (PMID: 16267050),http://www.ncbi.nlm.nih.gov/pubmed/16267050,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.3
Histone chaperones Asf1A and Asf1B are required for deposition of histone H3.3 (PMID: 18378699),http://www.ncbi.nlm.nih.gov/pubmed/18378699,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.3
Studies performed on nucleosome assembly suggest that H3.3/H4 tetramers show maximum splitting during replication dependent deposition of H3.3 variant (PMID: 20360108),http://www.ncbi.nlm.nih.gov/pubmed/20360108,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.3
"Recently a study reports, death domain-associated protein DAXX, as an H3.3 variant specific chaperone in humans that deposits H3.3 in a replication independent manner (PMID: 20504901)",http://www.ncbi.nlm.nih.gov/pubmed/20504901,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.3
"Genes for histone H4 are present on three different clusters namely cluster 1, 2 and 4. They are expressed in a cell cycle dependent manner (PMID: 2999768)",http://www.ncbi.nlm.nih.gov/pubmed/2999768,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H4
All histone H4 genes code for the same protein (PMID: 20197778),http://www.ncbi.nlm.nih.gov/pubmed/20197778,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H4
"Loss of both, H4 lysine 16 acetylation and H4 lysine 20 trimethylation is a hallmark of cancer (PMID: 15765097)",http://www.ncbi.nlm.nih.gov/pubmed/15765097,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H4
H4 acetylation profile is reported to be the same across different species (PMID: 17194708),http://www.ncbi.nlm.nih.gov/pubmed/17194708,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H4
CIA (CCG1-interacting factor A)/ASF1 is a histone chaperone complex specific for H3-H4 dimer (PMID: 17293877),http://www.ncbi.nlm.nih.gov/pubmed/17293877,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H4
Gene is located on chromosome number 12. It is involved in the replacement of histones with protamines during spermiogenesis (PMID: 16533358),http://www.ncbi.nlm.nih.gov/pubmed/16533358,http://www.actrec.gov.in/histome/variants.php?variant=Testis-specific_H1_histone
